task,value,response,num_value
cakes,10,30 minutes,30
cakes,10,20 minutes.,20
cakes,10,20 minutes,20
cakes,10,20 minutes,20
cakes,10,20 minutes,20
cakes,10,30 minutes.,30
cakes,10,30 minutes,30
cakes,10,30 minutes.,30
cakes,10,40 minutes.,40
cakes,10,30 minutes.,30
cakes,10,40 minutes.,40
cakes,10,20 minutes.,20
cakes,10,20 minutes,20
cakes,10,30 minutes.,30
cakes,10,20 minutes.,20
cakes,10,20 minutes,20
cakes,10,30 minutes,30
cakes,10,30 minutes.,30
cakes,10,30 minutes.,30
cakes,10,25 minutes,25
cakes,20,40 minutes.,40
cakes,20,40 minutes.,40
cakes,20,40 minutes.,40
cakes,20,40 minutes.,40
cakes,20,40 minutes.,40
cakes,20,40 minutes,40
cakes,20,40 minutes.,40
cakes,20,40 minutes.,40
cakes,20,40 minutes.,40
cakes,20,40 minutes.,40
cakes,20,40 minutes.,40
cakes,20,40 minutes.,40
cakes,20,40 minutes.,40
cakes,20,40 minutes.,40
cakes,20,40 minutes,40
cakes,20,40 minutes,40
cakes,20,40 minutes,40
cakes,20,40 minutes,40
cakes,20,40 minutes.,40
cakes,20,40 minutes,40
cakes,35,55 minutes.,55
cakes,35,70 minutes,70
cakes,35,70 minutes,70
cakes,35,70 minutes.,70
cakes,35,70 minutes.,70
cakes,35,70 minutes.,70
cakes,35,70 minutes.,70
cakes,35,70 minutes,70
cakes,35,70 minutes.,70
cakes,35,70 minutes.,70
cakes,35,70 minutes.,70
cakes,35,70 minutes,70
cakes,35,70 minutes,70
cakes,35,70 minutes.,70
cakes,35,70 minutes,70
cakes,35,70 minutes.,70
cakes,35,70 minutes,70
cakes,35,70 minutes.,70
cakes,35,70 minutes,70
cakes,35,70 minutes.,70
cakes,50,60 minutes.,60
cakes,50,70 minutes.,70
cakes,50,90 minutes,90
cakes,50,80 minutes,80
cakes,50,90 minutes,90
cakes,50,80 minutes.,80
cakes,50,70 minutes,70
cakes,50,90 minutes,90
cakes,50,70 minutes,70
cakes,50,60 minutes.,60
cakes,50,90 minutes.,90
cakes,50,70 minutes.,70
cakes,50,60 Minutes,60
cakes,50,70 minutes,70
cakes,50,90 minutes.,90
cakes,50,90 minutes,90
cakes,50,70 minutes,70
cakes,50,60 minutes,60
cakes,50,60 minutes.,60
cakes,50,70 minutes,70
cakes,70,135 minutes,135
cakes,70,170 minutes,170
cakes,70,130 minutes,130
cakes,70,135 minutes.,135
cakes,70,110 minutes,110
cakes,70,130 minutes,130
cakes,70,135 minutes,135
cakes,70,120 minutes,120
cakes,70,80 minutes.,80
cakes,70,140 minutes.,140
cakes,70,140 minutes,140
cakes,70,140 minutes.,140
cakes,70,80 minutes.,80
cakes,70,110 minutes.,110
cakes,70,110 minutes,110
cakes,70,120 minutes.,120
cakes,70,110 minutes.,110
cakes,70,140 minutes.,140
cakes,70,90 minutes,90
cakes,70,105 minutes.,105
life_spans,18,79.5,80
life_spans,18,84,84
life_spans,18,80.,80
life_spans,18,87,87
life_spans,18,81,81
life_spans,18,81.5,82
life_spans,18,83,83
life_spans,18,81,81
life_spans,18,83,83
life_spans,18,83,83
life_spans,18,81,81
life_spans,18,89,89
life_spans,18,85,85
life_spans,18,82.,82
life_spans,18,81.,81
life_spans,18,89,89
life_spans,18,84.,84
life_spans,18,85,85
life_spans,18,83,83
life_spans,18,82,82
life_spans,39,83,83
life_spans,39,78,78
life_spans,39,79,79
life_spans,39,81,81
life_spans,39,82,82
life_spans,39,81,81
life_spans,39,86,86
life_spans,39,79,79
life_spans,39,78,78
life_spans,39,85,85
life_spans,39,77.,77
life_spans,39,79,79
life_spans,39,84.,84
life_spans,39,82,82
life_spans,39,78,78
life_spans,39,79 years,79
life_spans,39,77,77
life_spans,39,80,80
life_spans,39,77.3,77
life_spans,39,81,81
